SITE-001,94107,Potrero Hill / Dogpatch,2200 block of 3rd St,37.76,-122.3886,1630,9552.51,36,2026-06-16
SITE-002,94109,Nob Hill / Polk Gulch,1800 block of Polk St,37.7938,-122.421,1940,9509.15,60,2026-03-29
SITE-003,94114,Castro / Noe Valley,400 block of Castro St,37.761,-122.435,1100,7853.44,84,2026-06-16
SITE-004,94115,Pacific Heights / Fillmore,1600 block of Fillmore St,37.7845,-122.433,970,7511.32,84,2026-01-28
SITE-005,94116,Parkside,2400 block of Taraval St,37.7428,-122.4915,2010,12923.37,84,2026-07-21
SITE-006,94117,Haight / Cole Valley,900 block of Cole St,37.7654,-122.45,1060,7074.93,120,2026-03-10
SITE-007,94121,Outer Richmond,3600 block of Balboa St,37.776,-122.4977,1990,13455.79,84,2026-04-05
SITE-008,94122,Sunset,1300 block of Irving St,37.7638,-122.4724,1460,7932.55,120,2026-03-08
SITE-009,94124,Bayview,4700 block of 3rd St,37.7351,-122.3902,1650,8075.98,36,2026-05-17
SITE-010,94107,Potrero Hill / Dogpatch,1400 block of 18th St,37.7626,-122.3973,2550,20776.24,84,2026-04-02
SITE-011,94109,Nob Hill / Polk Gulch,1500 block of Polk St,37.7912,-122.4205,2590,11484.67,60,2026-07-21
SITE-012,94114,Castro / Noe Valley,3900 block of 24th St,37.7516,-122.4307,1780,15279.59,120,2026-01-04
